#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_18	2306	2722	-	GJAFJC_05396	15.5	4.8		
contig_18	7090	7344	+	GJAFJC_05402	9.9	5.3		
contig_18	8147	9199	+	GJAFJC_05404	40.2	9.1		SO:0001217, UniRef:UniRef50_R8X255
contig_18	15020	15307	+	GJAFJC_05413	10.8	9.0	PF08281.18|Sigma70_r4_2	PFAM:PF08281.18
contig_18	17770	18363	+	GJAFJC_05417	23.4	9.7		
contig_19	8924	9142	-	GJAFJC_05441	8.4	5.0	PF07362.18|CcdA	PFAM:PF07362.18
contig_19	10334	10501	+	GJAFJC_05442	6.5	4.6		
contig_19	11973	12293	-	GJAFJC_05444	12.1	7.8		
contig_19	17301	17414	+	GJAFJC_05448	4.3	5.9		
contig_19	22278	22709	-	GJAFJC_05452	16.3	6.7		SO:0001217, UniRef:UniRef50_A0A071LQ86
contig_20	5258	5614	+	GJAFJC_05458	13.4	9.7	PF00665.32|rve	PFAM:PF00665.32
contig_22	437	544	+	GJAFJC_05463	4.2	6.5		
contig_24	116	250	+	GJAFJC_05467	5.1	8.3		SO:0001217, UniRef:UniRef50_A0A0J2D5W8
