#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_3	16544	16843	+	DBOHML_05349	11.7	5.0		SO:0001217, UniRef:UniRef50_A0AAP8VU78
contig_3	16895	17269	+	DBOHML_05350	13.0	5.0		
contig_3	17266	17577	+	DBOHML_05351	12.2	5.9		SO:0001217, UniRef:UniRef50_A0A097H0B9
contig_3	17646	17795	+	DBOHML_05352	5.7	9.9		
contig_3	17808	18080	+	DBOHML_05353	10.4	10.7		
contig_3	20900	21127	+	DBOHML_05357	8.7	9.0		SO:0001217, UniRef:UniRef50_B7LJD3
contig_3	25636	25863	+	DBOHML_05362	8.4	8.9		
contig_3	33686	33943	+	DBOHML_05371	9.5	7.8		
contig_4	12188	12529	-	DBOHML_05384	12.5	8.4		
contig_4	21181	21642	+	DBOHML_05394	17.5	9.2		
contig_4	31356	31643	-	DBOHML_05411	11.0	9.4		SO:0001217, UniRef:UniRef50_A0A828PH07
contig_4	37642	37872	-	DBOHML_05419	8.6	10.8		
contig_4	41088	41279	-	DBOHML_05424	7.3	9.8		
contig_4	45138	45341	-	DBOHML_05431	7.3	4.1		
contig_4	56208	56426	-	DBOHML_05447	8.4	5.0	PF07362.18|CcdA	PFAM:PF07362.18
contig_4	57618	57785	+	DBOHML_05448	6.5	4.6		
contig_4	59257	59577	-	DBOHML_05450	12.1	7.8		
contig_4	64585	64698	+	DBOHML_05454	4.3	5.9		
contig_4	69562	69993	-	DBOHML_05458	16.3	6.7		SO:0001217, UniRef:UniRef50_A0A071LQ86
contig_4	72053	72811	-	DBOHML_05461	27.6	9.1	PF13005.12|zf-IS66	PFAM:PF13005.12
contig_4	72813	73070	-	DBOHML_05462	10.1	6.6		
contig_4	73896	74252	-	DBOHML_05465	13.4	9.7	PF00665.32|rve	PFAM:PF00665.32
contig_4	79770	80036	+	DBOHML_05470	10.0	9.8		
contig_4	86128	86265	+	DBOHML_05475	4.8	5.0		
contig_4	86224	86790	-	DBOHML_05476	21.6	7.7	PF08708.16|PriCT_1	PFAM:PF08708.16
contig_4	88362	88697	-	DBOHML_05477	13.3	9.3		
contig_4	92000	92320	-	DBOHML_05484	11.8	4.7		
contig_4	102732	102890	-	DBOHML_05496	5.5	4.7	PF01323.26|DSBA	PFAM:PF01323.26
