locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNIJKLNN_00900	CDS	1503	fruK	3.6.3.17	COG1129	Fructose import ATP-binding protein FruK
FNIJKLNN_00901	CDS	957	ytfQ			ABC transporter periplasmic-binding protein YtfQ
FNIJKLNN_00902	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
FNIJKLNN_00903	CDS	342	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
FNIJKLNN_00904	CDS	3780	tamB		COG2911	Translocation and assembly module subunit TamB
FNIJKLNN_00905	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
FNIJKLNN_00906	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
FNIJKLNN_00907	CDS	1344				hypothetical protein
FNIJKLNN_00908	CDS	207				hypothetical protein
FNIJKLNN_00909	CDS	558	ytfJ_2		COG3054	putative protein YtfJ
FNIJKLNN_00910	CDS	741	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
FNIJKLNN_00911	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
FNIJKLNN_00912	CDS	381	hxlR		COG1733	HTH-type transcriptional activator HxlR
FNIJKLNN_00913	CDS	861	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
FNIJKLNN_00914	CDS	966	ytfF			Inner membrane protein YtfF
FNIJKLNN_00915	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
FNIJKLNN_00916	CDS	1485				hypothetical protein
FNIJKLNN_00917	CDS	1164				hypothetical protein
FNIJKLNN_00918	CDS	1404	cycA		COG1113	D-serine/D-alanine/glycine transporter
FNIJKLNN_00919	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
FNIJKLNN_00920	CDS	639	oapA		COG3061	Opacity-associated protein OapA
FNIJKLNN_00921	CDS	1137				hypothetical protein
FNIJKLNN_00922	CDS	615				hypothetical protein
FNIJKLNN_00923	CDS	795				hypothetical protein
FNIJKLNN_00924	CDS	450	rplI		COG0359	50S ribosomal protein L9
FNIJKLNN_00925	CDS	228	rpsR		COG0238	30S ribosomal protein S18
FNIJKLNN_00926	CDS	315	priB		COG2965	Primosomal replication protein N
FNIJKLNN_00927	CDS	396	rpsF		COG0360	30S ribosomal protein S6
FNIJKLNN_00928	CDS	276				hypothetical protein
FNIJKLNN_00929	CDS	687	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
FNIJKLNN_00930	CDS	855	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
FNIJKLNN_00931	CDS	651	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
FNIJKLNN_00932	CDS	465	ulaC_2		COG1762	Ascorbate-specific PTS system EIIA component
FNIJKLNN_00933	CDS	306	ulaB_1	2.7.1.194	COG3414	Ascorbate-specific PTS system EIIB component
FNIJKLNN_00934	CDS	1398	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
FNIJKLNN_00935	CDS	1065	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
FNIJKLNN_00936	CDS	756	ulaR		COG1349	HTH-type transcriptional regulator UlaR
FNIJKLNN_00937	CDS	750				hypothetical protein
FNIJKLNN_00938	CDS	330	bsmA			Lipoprotein BsmA
FNIJKLNN_00939	CDS	276				hypothetical protein
FNIJKLNN_00940	CDS	1626	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
FNIJKLNN_00941	CDS	1164	yjfC	6.3.1.-	COG0754	Putative acid--amine ligase YjfC
FNIJKLNN_00942	CDS	639				hypothetical protein
FNIJKLNN_00943	CDS	399				hypothetical protein
FNIJKLNN_00944	CDS	660				hypothetical protein
FNIJKLNN_00945	CDS	699				hypothetical protein
FNIJKLNN_00946	CDS	402				hypothetical protein
FNIJKLNN_00947	CDS	732	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
FNIJKLNN_00948	CDS	2442	rnr	3.1.13.1	COG0557	Ribonuclease R
FNIJKLNN_00949	CDS	426	nsrR		COG1959	HTH-type transcriptional repressor NsrR
FNIJKLNN_00950	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
FNIJKLNN_00951	CDS	198				hypothetical protein
FNIJKLNN_00952	CDS	1005	hflC_2		COG0330	Modulator of FtsH protease HflC
FNIJKLNN_00953	CDS	1260	hflK		COG0330	Modulator of FtsH protease HflK
FNIJKLNN_00954	CDS	1281	hflX		COG2262	GTPase HflX
FNIJKLNN_00955	CDS	309	hfq		COG1923	RNA-binding protein Hfq
FNIJKLNN_00956	CDS	951	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
FNIJKLNN_00957	CDS	1848	mutL		COG0323	DNA mismatch repair protein MutL
FNIJKLNN_00958	CDS	1338	amiB	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiB
FNIJKLNN_00959	CDS	462	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
FNIJKLNN_00960	CDS	1533	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
FNIJKLNN_00961	CDS	1140	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
FNIJKLNN_00962	tRNA	76				tRNA-Gly(gcc)
FNIJKLNN_00963	tRNA	76				tRNA-Gly(gcc)
FNIJKLNN_00964	tRNA	76				tRNA-Gly(gcc)
FNIJKLNN_00965	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
FNIJKLNN_00966	CDS	1053	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
FNIJKLNN_00967	CDS	969	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
FNIJKLNN_00968	CDS	3324	mscM		COG3264	Miniconductance mechanosensitive channel MscM
FNIJKLNN_00969	CDS	1458	yjeM			Inner membrane transporter YjeM
FNIJKLNN_00970	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
FNIJKLNN_00971	CDS	1809	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
FNIJKLNN_00972	CDS	735	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
FNIJKLNN_00973	CDS	396	frdC		COG3029	Fumarate reductase subunit C
FNIJKLNN_00974	CDS	360	frdD		COG3080	Fumarate reductase subunit D
FNIJKLNN_00975	CDS	1134	ampC	3.5.2.6	COG1680	Beta-lactamase
FNIJKLNN_00976	CDS	534	blc_1		COG3040	Outer membrane lipoprotein Blc
FNIJKLNN_00977	CDS	318	sugE		COG2076	Quaternary ammonium compound-resistance protein SugE
FNIJKLNN_00978	CDS	147				hypothetical protein
FNIJKLNN_00979	CDS	126				hypothetical protein
FNIJKLNN_00980	CDS	567	efp		COG0231	Elongation factor P
FNIJKLNN_00981	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
FNIJKLNN_00982	CDS	870				hypothetical protein
FNIJKLNN_00983	CDS	354				hypothetical protein
FNIJKLNN_00984	CDS	1647	groL			60 kDa chaperonin
FNIJKLNN_00985	CDS	294	groS		COG0234	10 kDa chaperonin
FNIJKLNN_00986	CDS	1257	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
FNIJKLNN_00987	CDS	477				hypothetical protein
FNIJKLNN_00988	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
FNIJKLNN_00989	CDS	1302	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
FNIJKLNN_00990	CDS	339	cutA		COG1324	Divalent-cation tolerance protein CutA
FNIJKLNN_00991	CDS	1698	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
FNIJKLNN_00992	CDS	390				hypothetical protein
FNIJKLNN_00993	tRNA	76				tRNA-Phe(gaa)
FNIJKLNN_00994	CDS	1539	cadC		COG3710	Transcriptional activator CadC
FNIJKLNN_00995	CDS	1335	cadB		COG0531	putative cadaverine/lysine antiporter
FNIJKLNN_00996	CDS	2148	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
FNIJKLNN_00997	CDS	1458	dtpC		COG3104	Dipeptide and tripeptide permease C
FNIJKLNN_00998	CDS	1518	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
FNIJKLNN_00999	CDS	174	ghoT_2			Toxin GhoT
FNIJKLNN_01000	CDS	297	ghoS	3.1.-.-		Endoribonuclease antitoxin GhoS
FNIJKLNN_01001	CDS	273	yjdJ		COG2388	putative protein YjdJ
FNIJKLNN_01002	CDS	231				hypothetical protein
FNIJKLNN_01003	CDS	1632	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
FNIJKLNN_01004	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
FNIJKLNN_01005	CDS	1341	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
FNIJKLNN_01006	CDS	1647	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
FNIJKLNN_01007	CDS	630	yjdF		COG3647	Inner membrane protein YjdF
FNIJKLNN_01008	CDS	1410	melB		COG2211	Melibiose carrier protein
FNIJKLNN_01009	CDS	1356	melA	3.2.1.22	COG1486	Alpha-galactosidase
FNIJKLNN_01010	CDS	909	melR			Melibiose operon regulatory protein
FNIJKLNN_01011	CDS	2271	adiA	4.1.1.19	COG1982	Biodegradative arginine decarboxylase
FNIJKLNN_01012	CDS	762	gadX_1			HTH-type transcriptional regulator GadX
FNIJKLNN_01013	CDS	1338	adiC		COG0531	Arginine/agmatine antiporter
FNIJKLNN_01014	CDS	1644	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
FNIJKLNN_01015	CDS	669	basR			Transcriptional regulatory protein BasR
FNIJKLNN_01016	CDS	1101	basS	2.7.13.3		Sensor protein BasS
FNIJKLNN_01017	CDS	90				hypothetical protein
FNIJKLNN_01018	CDS	1503	proP_1			Proline/betaine transporter
FNIJKLNN_01019	CDS	879				hypothetical protein
FNIJKLNN_01020	CDS	2229	crfC		COG0699	Clamp-binding protein CrfC
FNIJKLNN_01021	CDS	336				hypothetical protein
FNIJKLNN_01022	CDS	444				hypothetical protein
FNIJKLNN_01023	CDS	789	phnC	3.6.3.27	COG3638	Phosphate-import ATP-binding protein PhnC
FNIJKLNN_01024	CDS	1017	phnD		COG3221	Phosphate-import protein PhnD
FNIJKLNN_01025	CDS	780	phnE		COG3639	Phosphate-import permease protein PhnE
FNIJKLNN_01026	CDS	726	phnF		COG2188	putative transcriptional regulator PhnF
FNIJKLNN_01027	CDS	453	phnG	2.7.8.37	COG3624	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
FNIJKLNN_01028	CDS	585	phnH	2.7.8.37	COG3625	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
FNIJKLNN_01029	CDS	1065	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
FNIJKLNN_01030	CDS	846	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
FNIJKLNN_01031	CDS	759	phnK		COG4107	Putative phosphonates utilization ATP-binding protein PhnK
FNIJKLNN_01032	CDS	681	phnL	2.7.8.37	COG4778	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
FNIJKLNN_01033	CDS	1137	phnM	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
FNIJKLNN_01034	CDS	558	phnN	2.7.4.23	COG3709	Ribose 1,5-bisphosphate phosphokinase PhnN
FNIJKLNN_01035	CDS	435	phnO	2.3.1.-		Aminoalkylphosphonate N-acetyltransferase
FNIJKLNN_01036	CDS	759	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
FNIJKLNN_01037	CDS	330				hypothetical protein
FNIJKLNN_01038	CDS	318	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
FNIJKLNN_01039	CDS	1986	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
FNIJKLNN_01040	CDS	276				hypothetical protein
FNIJKLNN_01041	CDS	1032	mdtN		COG1566	Multidrug resistance protein MdtN
FNIJKLNN_01042	CDS	2052	mdtO		COG1289	Multidrug resistance protein MdtO
FNIJKLNN_01043	CDS	1467	cusC_1		COG1538	Cation efflux system protein CusC
FNIJKLNN_01044	CDS	420	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
FNIJKLNN_01045	CDS	1680	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
FNIJKLNN_01046	CDS	690				hypothetical protein
FNIJKLNN_01047	CDS	1314	gltP		COG1301	Proton/glutamate-aspartate symporter
FNIJKLNN_01048	CDS	597	nrfG		COG4235	Formate-dependent nitrite reductase complex subunit NrfG
FNIJKLNN_01049	CDS	384	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
FNIJKLNN_01050	CDS	1623	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
FNIJKLNN_01051	CDS	957				hypothetical protein
FNIJKLNN_01052	CDS	672	ydhX_1		COG0437	putative ferredoxin-like protein YdhX
FNIJKLNN_01053	CDS	567	nrfB			Cytochrome c-type protein NrfB
FNIJKLNN_01054	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
FNIJKLNN_01055	CDS	1959	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
FNIJKLNN_01056	CDS	315	yjcH		COG3162	Inner membrane protein YjcH
FNIJKLNN_01057	CDS	1650	actP		COG4147	Cation/acetate symporter ActP
FNIJKLNN_01058	CDS	1293	pipB2_1		COG1357	Secreted effector protein PipB2
FNIJKLNN_01059	CDS	1650	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
FNIJKLNN_01060	CDS	1350	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
FNIJKLNN_01061	CDS	465	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
FNIJKLNN_01062	CDS	324	soxS			Regulatory protein SoxS
FNIJKLNN_01063	CDS	1584	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
FNIJKLNN_01064	CDS	282				hypothetical protein
FNIJKLNN_01065	CDS	537	ssb_1		COG0629	Single-stranded DNA-binding protein
FNIJKLNN_01066	CDS	2823	uvrA		COG0178	UvrABC system protein A
FNIJKLNN_01067	CDS	357	yjbR_1		COG2315	putative protein YjbR
FNIJKLNN_01068	CDS	417				hypothetical protein
FNIJKLNN_01069	CDS	714	aphA	3.1.3.2	COG3700	Class B acid phosphatase
FNIJKLNN_01070	CDS	504				hypothetical protein
FNIJKLNN_01071	CDS	1194	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
FNIJKLNN_01072	CDS	1080	alr	5.1.1.1	COG0787	Alanine racemase, biosynthetic
FNIJKLNN_01073	CDS	1416	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
FNIJKLNN_01074	CDS	984	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
FNIJKLNN_01075	CDS	243	pspG			Phage shock protein G
FNIJKLNN_01076	CDS	1038	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
FNIJKLNN_01077	CDS	963				hypothetical protein
FNIJKLNN_01078	CDS	516	zur		COG0735	Zinc uptake regulation protein
FNIJKLNN_01079	CDS	210				hypothetical protein
FNIJKLNN_01080	CDS	1326	dinF		COG0534	DNA damage-inducible protein F
FNIJKLNN_01081	CDS	609	lexA_1	3.4.21.88	COG1974	LexA repressor
FNIJKLNN_01082	CDS	369	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
FNIJKLNN_01083	CDS	2424	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
FNIJKLNN_01084	CDS	873	ubiA	2.5.1.-	COG0382	4-hydroxybenzoate octaprenyltransferase
FNIJKLNN_01085	CDS	498	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
FNIJKLNN_01086	CDS	1581	sopA	2.3.2.26		E3 ubiquitin-protein ligase SopA
FNIJKLNN_01087	CDS	921				hypothetical protein
FNIJKLNN_01088	CDS	1341	lamB		COG4580	Maltoporin
FNIJKLNN_01089	CDS	1116	malK_1	3.6.3.19	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
FNIJKLNN_01090	CDS	96				hypothetical protein
FNIJKLNN_01091	CDS	1191	malE		COG2182	Maltose-binding periplasmic protein
FNIJKLNN_01092	CDS	1545	malF		COG1175	Maltose transport system permease protein MalF
FNIJKLNN_01093	CDS	891	malG		COG3833	Maltose transport system permease protein MalG
FNIJKLNN_01094	CDS	411	psiE		COG3223	Protein PsiE
FNIJKLNN_01095	CDS	2097				hypothetical protein
FNIJKLNN_01096	CDS	738				hypothetical protein
FNIJKLNN_01097	CDS	639	gfcB			putative lipoprotein GfcB
FNIJKLNN_01098	CDS	243				hypothetical protein
FNIJKLNN_01099	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
FNIJKLNN_01100	CDS	1350	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
FNIJKLNN_01101	CDS	273				hypothetical protein
FNIJKLNN_01102	CDS	873	rluF	5.4.99.21	COG1187	23S rRNA pseudouridine(2604) synthase
FNIJKLNN_01103	CDS	948	sorC		COG2390	Sorbitol operon regulator
FNIJKLNN_01104	CDS	807	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
FNIJKLNN_01105	CDS	408	sorF		COG2893	PTS system sorbose-specific EIIA component
FNIJKLNN_01106	CDS	495	sorB_2	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
FNIJKLNN_01107	CDS	798	sorA		COG3715	PTS system sorbose-specific EIIC component
FNIJKLNN_01108	CDS	825	sorM		COG3716	PTS system sorbose-specific EIID component
FNIJKLNN_01109	CDS	1230	yggP_2	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
FNIJKLNN_01110	CDS	690	pepE	3.4.13.21	COG3340	Peptidase E
FNIJKLNN_01111	CDS	1632				hypothetical protein
FNIJKLNN_01112	CDS	3684	metH	2.1.1.13	COG0646	Methionine synthase
FNIJKLNN_01113	CDS	825	iclR		COG1414	Transcriptional repressor IclR
FNIJKLNN_01114	CDS	2187				hypothetical protein
FNIJKLNN_01115	CDS	1737	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
FNIJKLNN_01116	CDS	1305	aceA	4.1.3.1	COG2224	Isocitrate lyase
FNIJKLNN_01117	CDS	1602	aceB	2.3.3.9	COG2225	Malate synthase A
FNIJKLNN_01118	CDS	930	metAS	2.3.1.46	COG1897	Homoserine O-succinyltransferase
FNIJKLNN_01119	CDS	444	yjaB_1	2.3.1.-	COG0454	putative N-acetyltransferase YjaB
FNIJKLNN_01120	rRNA	111				5S ribosomal RNA
FNIJKLNN_01121	rRNA	2902				23S ribosomal RNA
FNIJKLNN_01122	tRNA	76				tRNA-Glu(ttc)
FNIJKLNN_01123	rRNA	1538				16S ribosomal RNA
FNIJKLNN_01124	CDS	1590	purH		COG0138	Bifunctional purine biosynthesis protein PurH
FNIJKLNN_01125	CDS	1290	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
FNIJKLNN_01126	CDS	1326	zraR		COG2204	Transcriptional regulatory protein ZraR
FNIJKLNN_01127	CDS	1377	zraS	2.7.13.3		Sensor protein ZraS
FNIJKLNN_01128	CDS	420	zraP		COG3678	Zinc resistance-associated protein
FNIJKLNN_01129	CDS	636				hypothetical protein
FNIJKLNN_01130	CDS	273	hupA		COG0776	DNA-binding protein HU-alpha
FNIJKLNN_01131	CDS	591			COG3068	putative protein
FNIJKLNN_01132	CDS	672	nfi	3.1.21.7	COG1515	Endonuclease V
FNIJKLNN_01133	CDS	1065	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
FNIJKLNN_01134	CDS	774	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
FNIJKLNN_01135	CDS	477	rsd		COG3160	Regulator of sigma D
FNIJKLNN_01136	CDS	1896	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
FNIJKLNN_01137	CDS	636	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
FNIJKLNN_01138	CDS	756	thiF	2.7.7.73	COG0476	Sulfur carrier protein ThiS adenylyltransferase
FNIJKLNN_01139	CDS	201	thiS		COG2104	Sulfur carrier protein ThiS
FNIJKLNN_01140	CDS	771	thiG	2.8.1.10	COG2022	Thiazole synthase
FNIJKLNN_01141	CDS	1134	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
FNIJKLNN_01142	CDS	540	htrC			Heat shock protein C
FNIJKLNN_01143	CDS	4224	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
FNIJKLNN_01144	CDS	4029	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
FNIJKLNN_01145	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
FNIJKLNN_01146	CDS	498	rplJ		COG0244	50S ribosomal protein L10
FNIJKLNN_01147	CDS	705	rplA		COG0081	50S ribosomal protein L1
FNIJKLNN_01148	CDS	429	rplK		COG0080	50S ribosomal protein L11
FNIJKLNN_01149	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
FNIJKLNN_01150	CDS	384	secE		COG0690	Protein translocase subunit SecE
FNIJKLNN_01151	CDS	1185	tufB		COG0050	Elongation factor Tu 2
FNIJKLNN_01152	tRNA	76				tRNA-Thr(ggt)
FNIJKLNN_01153	tRNA	75				tRNA-Gly(tcc)
FNIJKLNN_01154	tRNA	85				tRNA-Tyr(gta)
FNIJKLNN_01155	tRNA	76				tRNA-Thr(tgt)
FNIJKLNN_01156	CDS	927	coaA_2	2.7.1.33	COG1072	Pantothenate kinase
FNIJKLNN_01157	CDS	966	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
FNIJKLNN_01158	CDS	1029	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
FNIJKLNN_01159	rRNA	111				5S ribosomal RNA
FNIJKLNN_01160	rRNA	2902				23S ribosomal RNA
FNIJKLNN_01161	tRNA	76				tRNA-Glu(ttc)
FNIJKLNN_01162	rRNA	1538				16S ribosomal RNA
FNIJKLNN_01163	CDS	858	murI	5.1.1.3	COG0796	Glutamate racemase
FNIJKLNN_01164	CDS	1845	btuB		COG4206	Vitamin B12 transporter BtuB
FNIJKLNN_01165	CDS	1101	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
FNIJKLNN_01166	CDS	360	yijD			Inner membrane protein YijD
FNIJKLNN_01167	CDS	705	fabR		COG1309	HTH-type transcriptional repressor FabR
FNIJKLNN_01168	CDS	1401	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
FNIJKLNN_01169	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
FNIJKLNN_01170	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
FNIJKLNN_01171	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
FNIJKLNN_01172	CDS	1005	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
FNIJKLNN_01173	CDS	1152	argE_2	3.5.1.16	COG0624	Acetylornithine deacetylase
FNIJKLNN_01174	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
FNIJKLNN_01175	CDS	1734	eptC	2.7.-.-	COG2194	Phosphoethanolamine transferase EptC
FNIJKLNN_01176	CDS	852	btr		COG0614	HTH-type transcriptional activator Btr
FNIJKLNN_01177	CDS	342	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
FNIJKLNN_01178	CDS	879	bssD	1.97.1.-		Benzylsuccinate synthase activating enzyme
FNIJKLNN_01179	CDS	2298	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
FNIJKLNN_01180	CDS	321	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
FNIJKLNN_01181	CDS	1080	manP		COG1299	PTS system mannose-specific EIIBCA component
FNIJKLNN_01182	CDS	2502	fryA_1		COG1080	Multiphosphoryl transfer protein 1
FNIJKLNN_01183	CDS	663	fsaB	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 2
FNIJKLNN_01184	CDS	1104	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
FNIJKLNN_01185	CDS	618				hypothetical protein
FNIJKLNN_01186	CDS	906	yijE			putative cystine transporter YijE
FNIJKLNN_01187	CDS	2181	katG	1.11.1.21	COG0376	Catalase-peroxidase
FNIJKLNN_01188	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
FNIJKLNN_01189	CDS	1554	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
FNIJKLNN_01190	CDS	1131				hypothetical protein
FNIJKLNN_01191	CDS	2433	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
FNIJKLNN_01192	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
FNIJKLNN_01193	CDS	318	metJ		COG3060	Met repressor
FNIJKLNN_01194	CDS	609				hypothetical protein
FNIJKLNN_01195	CDS	213	rpmE		COG0254	50S ribosomal protein L31
FNIJKLNN_01196	CDS	2199	priA	3.6.4.-	COG1198	Primosomal protein N'
FNIJKLNN_01197	CDS	1026	cytR_1		COG1609	HTH-type transcriptional repressor CytR
FNIJKLNN_01198	CDS	855	ftsN		COG3087	Cell division protein FtsN
FNIJKLNN_01199	CDS	531	hslV	3.4.25.2		ATP-dependent protease subunit HslV
FNIJKLNN_01200	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
FNIJKLNN_01201	CDS	927	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
FNIJKLNN_01202	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
FNIJKLNN_01203	CDS	675				hypothetical protein
FNIJKLNN_01204	CDS	627				hypothetical protein
FNIJKLNN_01205	CDS	240	zapB		COG3074	Cell division protein ZapB
FNIJKLNN_01206	CDS	846	glpF		COG0580	Glycerol uptake facilitator protein
FNIJKLNN_01207	CDS	1509	glpK	2.7.1.30	COG0554	Glycerol kinase
FNIJKLNN_01208	CDS	1140	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
FNIJKLNN_01209	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
FNIJKLNN_01210	CDS	429	uspD		COG0589	Universal stress protein D
FNIJKLNN_01211	CDS	300				hypothetical protein
FNIJKLNN_01212	CDS	441				hypothetical protein
FNIJKLNN_01213	CDS	600				hypothetical protein
FNIJKLNN_01214	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
FNIJKLNN_01215	CDS	756	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
FNIJKLNN_01216	CDS	990	sbp		COG1613	Sulfate-binding protein
FNIJKLNN_01217	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
FNIJKLNN_01218	CDS	903	fieF		COG0053	Ferrous-iron efflux pump FieF
FNIJKLNN_01219	CDS	219				hypothetical protein
FNIJKLNN_01220	CDS	1164				hypothetical protein
